Empresa;Agência;Modalidade;Estoque;Cliente;Asset;Emissão;Código;Taxa(%);;Custódia;Swap;PU;Qtde;Vlr. Ida;Vlr.Curva;Vlr.Vencto;Vlr.IRF;Vlr.IOF;Vlr.Líquido;Vencto;Índice(%);Código ISIN;Cond. Resgate;Data Liquidez
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065428 - 1000000;000013242 - AGORA CTVM S A;;25/11/2022;"=""CDB422I0GVI""";0,0000;SOVE;CETIP21;N;1.055,862000;5,00;5.000,00;5.279,31;5.279,31;0,00;0,00;5.279,31;25/05/2023;106,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065433 - 1000000;000013242 - AGORA CTVM S A;;25/11/2022;"=""CDB422I0GVK""";0,0000;SOVE;CETIP21;N;1.061,290000;7,00;7.000,00;7.429,03;7.429,03;0,00;0,00;7.429,03;27/05/2024;116,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065577 - 1000000;000013242 - AGORA CTVM S A;;07/12/2022;"=""CDB422MOLNY""";0,0000;SOVE;CETIP21;N;1.051,326364;11,00;11.000,00;11.564,59;11.564,59;0,00;0,00;11.564,59;07/06/2023;106,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065600 - 1000000;000013242 - AGORA CTVM S A;;09/12/2022;"=""CDB422NU3IK""";0,0000;SOVE;CETIP21;N;1.054,571077;2.311,00;2.311.000,00;2.437.113,76;2.437.113,76;0,00;0,00;2.437.113,76;11/12/2023;115,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065601 - 1000000;000013242 - AGORA CTVM S A;;09/12/2022;"=""CDB422NU3IX""";0,0000;SOVE;CETIP21;N;1.050,196000;40,00;40.000,00;42.007,84;42.007,84;0,00;0,00;42.007,84;09/06/2023;106,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065619 - 1000000;000013242 - AGORA CTVM S A;;09/12/2022;"=""CDB422NU3J8""";0,0000;SOVE;CETIP21;N;1.055,545714;63,00;63.000,00;66.499,38;66.499,38;0,00;0,00;66.499,38;09/12/2024;117,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065626 - 1000000;000013242 - AGORA CTVM S A;;12/12/2022;"=""CDB422O6IDW""";0,0000;SOVE;CETIP21;N;1.053,955494;526,00;526.000,00;554.380,59;554.380,59;0,00;0,00;554.380,59;12/12/2023;115,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065720 - 1000000;000013242 - AGORA CTVM S A;;20/12/2022;"=""CDB422R8T5X""";0,0000;SOVE;CETIP21;N;1.049,374272;103,00;103.000,00;108.085,55;108.085,55;0,00;0,00;108.085,55;23/12/2025;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065721 - 1000000;000013242 - AGORA CTVM S A;;20/12/2022;"=""CDB422R8T5S""";0,0000;SOVE;CETIP21;N;1.048,256190;42,00;42.000,00;44.026,76;44.026,76;0,00;0,00;44.026,76;21/06/2024;110,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065728 - 1000000;000013242 - AGORA CTVM S A;;21/12/2022;"=""CDB422RSGOX""";0,0000;SOVE;CETIP21;N;1.048,109500;20,00;20.000,00;20.962,19;20.962,19;0,00;0,00;20.962,19;24/12/2024;111,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065746 - 1000000;000013242 - AGORA CTVM S A;;23/12/2022;"=""CDB422T1BYV""";0,0000;SOVE;CETIP21;N;1.047,569429;35,00;35.000,00;36.664,93;36.664,93;0,00;0,00;36.664,93;24/12/2025;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065747 - 1000000;000013242 - AGORA CTVM S A;;23/12/2022;"=""CDB422T1BYU""";0,0000;SOVE;CETIP21;N;1.046,923818;110,00;110.000,00;115.161,62;115.161,62;0,00;0,00;115.161,62;24/12/2024;111,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065782 - 1000000;000013242 - AGORA CTVM S A;;28/12/2022;"=""CDB422UFORU""";0,0000;SOVE;CETIP21;N;1.045,147143;7,00;7.000,00;7.316,03;7.316,03;0,00;0,00;7.316,03;31/12/2024;111,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065790 - 1000000;000013242 - AGORA CTVM S A;;29/12/2022;"=""CDB422UUWIK""";0,0000;SOVE;CETIP21;N;1.044,147500;40,00;40.000,00;41.765,90;41.765,90;0,00;0,00;41.765,90;02/07/2024;110,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065820 - 1000000;000013242 - AGORA CTVM S A;;03/01/2023;"=""CDB12307QOB""";0,0000;SOVE;CETIP21;N;1.041,804439;205,00;205.000,00;213.569,91;213.569,91;0,00;0,00;213.569,91;03/01/2024;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065827 - 1000000;000013242 - AGORA CTVM S A;;04/01/2023;"=""CDB1230YL8B""";0,0000;SOVE;CETIP21;N;1.042,772439;82,00;82.000,00;85.507,34;85.507,34;0,00;0,00;85.507,34;05/01/2026;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065828 - 1000000;000013242 - AGORA CTVM S A;;04/01/2023;"=""CDB1230YL84""";0,0000;SOVE;CETIP21;N;1.042,192973;37,00;37.000,00;38.561,14;38.561,14;0,00;0,00;38.561,14;06/01/2025;111,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065809 - 1000000;000013242 - AGORA CTVM S A;;02/01/2023;"=""CDB123012BF""";0,0000;SOVE;CETIP21;N;1.042,381026;39,00;39.000,00;40.652,86;40.652,86;0,00;0,00;40.652,86;02/01/2024;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065858 - 1000000;000013242 - AGORA CTVM S A;;11/01/2023;"=""CDB1233K96L""";0,0000;SOVE;CETIP21;N;1.038,350000;5,00;5.000,00;5.191,75;5.191,75;0,00;0,00;5.191,75;12/07/2024;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065869 - 1000000;000013242 - AGORA CTVM S A;;13/01/2023;"=""CDB1234ERTD""";0,0000;SOVE;CETIP21;N;1.036,680909;110,00;110.000,00;114.034,90;114.034,90;0,00;0,00;114.034,90;16/01/2024;107,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065887 - 1000000;000013242 - AGORA CTVM S A;;18/01/2023;"=""CDB1235RIT8""";0,0000;SOVE;CETIP21;N;1.035,812500;20,00;20.000,00;20.716,25;20.716,25;0,00;0,00;20.716,25;21/01/2025;110,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065896 - 1000000;000013242 - AGORA CTVM S A;;19/01/2023;"=""CDB12367DCR""";0,0000;SOVE;CETIP21;N;1.035,560000;5,00;5.000,00;5.177,80;5.177,80;0,00;0,00;5.177,80;19/01/2026;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065917 - 1000000;000013242 - AGORA CTVM S A;;24/01/2023;"=""CDB1237EL6M""";0,0000;SOVE;CETIP21;N;1.032,727500;40,00;40.000,00;41.309,10;41.309,10;0,00;0,00;41.309,10;24/01/2024;107,50;"=""""";N;
